id,product_id,week_number,price,week_date
011100103-1,11100103,1,159.875,02-09/02/2026
011100107-1,11100107,1,33.55555556,02-09/02/2026
011100301-1,11100301,1,4.69047619,02-09/02/2026
011210102-1,11210102,1,67.66666667,02-09/02/2026
011210201-1,11210201,1,36.72727273,02-09/02/2026
011220102-1,11220102,1,16.23333333,02-09/02/2026
011420303-1,11420303,1,25.5,02-09/02/2026
011420308-1,11420308,1,10,02-09/02/2026
011430001-1,11430001,1,21.29166667,02-09/02/2026
011510203-1,11510203,1,31.4,02-09/02/2026
011510204-1,11510204,1,24.85714286,02-09/02/2026
011520101-1,11520101,1,22.66666667,02-09/02/2026
011800105-1,11800105,1,32.33333333,02-09/02/2026
011800202-1,11800202,1,26.9047619,02-09/02/2026
011930206-1,11930206,1,23.23671498,02-09/02/2026
011100604-1,11100604,1,12,02-09/02/2026
011101301-1,11101301,1,10.62962963,02-09/02/2026
011740201-1,11740201,1,7.588235294,02-09/02/2026
011740302-1,11740302,1,8,02-09/02/2026
011210107-1,11210107,1,96.25,02-09/02/2026
011210203-1,11210203,1,58.75,02-09/02/2026
011420105-1,11420105,1,20.05882353,02-09/02/2026
011101101-1,11101101,1,5.25,02-09/02/2026
011620302-1,11620302,1,23.81818182,02-09/02/2026
011620303-1,11620303,1,12.5,02-09/02/2026
011100103-2,11100103,2,154.9473684,09-16/02/2026
011100107-2,11100107,2,34.2,09-16/02/2026
011100301-2,11100301,2,4.681818182,09-16/02/2026
011210102-2,11210102,2,68.26315789,09-16/02/2026
011210201-2,11210201,2,36.22222222,09-16/02/2026
011220102-2,11220102,2,17.78125,09-16/02/2026
011420303-2,11420303,2,25.78125,09-16/02/2026
011420308-2,11420308,2,10,09-16/02/2026
011430001-2,11430001,2,20.6,09-16/02/2026
011510203-2,11510203,2,29.97826087,09-16/02/2026
011510204-2,11510204,2,24.125,09-16/02/2026
011520101-2,11520101,2,21.55555556,09-16/02/2026
011800105-2,11800105,2,29.5625,09-16/02/2026
011800202-2,11800202,2,26.54761905,09-16/02/2026
011930206-2,11930206,2,23.08080808,09-16/02/2026
011100604-2,11100604,2,10.88888889,09-16/02/2026
011101301-2,11101301,2,10.34375,09-16/02/2026
011740201-2,11740201,2,7.928571429,09-16/02/2026
011740302-2,11740302,2,8.416666667,09-16/02/2026
011210107-2,11210107,2,96.21052632,09-16/02/2026
011210203-2,11210203,2,55.52631579,09-16/02/2026
011420105-2,11420105,2,19.36,09-16/02/2026
011101101-2,11101101,2,5.38,09-16/02/2026
011620302-2,11620302,2,24.75,09-16/02/2026
011620303-2,11620303,2,12.5,09-16/02/2026
011100103-3,11100103,3,154.4,16-23/02/2026
011100107-3,11100107,3,33.14,16-23/02/2026
011100301-3,11100301,3,4.68,16-23/02/2026
011210102-3,11210102,3,69.4,16-23/02/2026
011210201-3,11210201,3,36.78,16-23/02/2026
011220102-3,11220102,3,17.33,16-23/02/2026
011420303-3,11420303,3,27.29,16-23/02/2026
011420308-3,11420308,3,9.8,16-23/02/2026
011430001-3,11430001,3,19.22,16-23/02/2026
011510203-3,11510203,3,30.42,16-23/02/2026
